id,name,country_id,country_name,is_crypto
NKC,Nukecoinz,,,true
NLC2,NoLimitCoin,,,true
NMC,NameCoin,,,true
NMR,Numerai,,,true
NULS,Nuls,,,true
NVC,NovaCoin,,,true
NXT,Nxt,,,true
OAX,OpenANX,,,true
OBITS,Obits Coin,,,true
OC,OrangeCoin,,,true
OCN,Odyssey,,,true
ODN,Obsidian,,,true
OK,OKCash,,,true
OMG,OmiseGo,,,true
OMNI,Omni,,,true
ORE,Galactrum,,,true
ORME,Ormeus Coin,,,true
OST,Simple Token,,,true
OTN,Open Trading Network,,,true
OTX,Octanox,,,true
OXY,Oxycoin,,,true
PART,Particl,,,true
PAY,TenX,,,true
PBT,Primalbase,,,true
PCS,Pabyosi Coin,,,true
PIVX,Private Instant Verified Transaction,,,true
PIZZA,PizzaCoin,,,true
PLBT,Polybius,,,true
PLR,Pillar,,,true
POE,Po.et,,,true
POLY,PolyBit,,,true
POSW,PoSWallet,,,true
POWR,Power Ledger,,,true
PPC,PeerCoin,,,true
PPT,Populous,,,true
PPY,Peerplays,,,true
PRC,ProsperCoin,,,true
PRES,President Trump,,,true
PRG,Paragon,,,true
PRL,Oyster Pearl,,,true
PRO,Propy,,,true
PURA,Pura,,,true
PUT,PutinCoin,,,true
QASH,Quoine Liquid,,,true
QAU,Quantum,,,true
QSP,Quantstamp,,,true
QTUM,QTUM,,,true
QUN,QunQun,,,true
R,Revain,,,true
RBIES,Rubies,,,true
RCN,Ripio,,,true
RDD,ReddCoin,,,true
RDN,RadonPay,,,true
RDN*,Raiden Network,,,true
REBL,Rebellious,,,true
REE,ReeCoin,,,true
REP,Augur,,,true
REQ,Request Network,,,true
REV,Revenu,,,true
RGC,RG Coin,,,true
RHOC,RChain,,,true
RIYA,Etheriya,,,true
RKC,Royal Kingdom Coin,,,true
RLC,iEx.ec,,,true
RPX,Red Pulse,,,true
RUFF,Ruff,,,true
SALT,Salt Lending,,,true
SAN,Santiment,,,true
SBC,StableCoin,,,true
SC,Siacoin,,,true
SENT,Sentinel,,,true
SHIFT,Shift,,,true
SIB,SibCoin,,,true
SMART,SmartCash,,,true
SMLY,SmileyCoin,,,true
SMT*,SmartMesh,,,true
SNC,SunContract,,,true
SNGLS,SingularDTV,,,true
SNM,SONM,,,true
SNT,Status Network Token,,,true
SPK,Sparks,,,true
SRN,SirinLabs,,,true
STEEM,Steem,,,true
STK,STK Token,,,true
STORJ,Storj,,,true
STRAT,Stratis,,,true
STU,BitJob,,,true
STX,Stox,,,true
SUB,Substratum Network,,,true
SUR,Suretly,,,true
SWFTC,SwftCoin,,,true
SYS,SysCoin,,,true
TAAS,Token as a Service,,,true
TESLA,TeslaCoilCoin,,,true
THC,The Hempcoin,,,true
THETA,Theta,,,true
THS,TechShares,,,true
TIO,Trade.io,,,true
TKN,TokenCard  ,,,true
TKY,THEKEY Token,,,true
TNB,Time New Bank,,,true
TNT,Tierion,,,true
TOA,TOA Coin,,,true
TRC,TerraCoin,,,true
TRIG,Trigger,,,true
TRST,TrustCoin,,,true
TRUMP,TrumpCoin,,,true
TRX,Tronix,,,true
UBQ,Ubiq,,,true
UNO,Unobtanium,,,true
UNRC,UniversalRoyalCoin,,,true
UQC,Uquid Coin,,,true
USDT,Tether,,,true
UTK,Utrust,,,true
UTT,United Traders Token,,,true
VEE,BLOCKv,,,true
VEN,Vechain,,,true
VERI,Veritaseum,,,true
VIA,ViaCoin,,,true
VIB,Viberate,,,true
VIBE,VIBEHub,,,true
VOISE,Voise,,,true
VOX,Voxels,,,true
VRS,Veros,,,true
VTC,VertCoin,,,true
VUC,Virta Unique Coin,,,true
WABI,WaBi,,,true
WAVES,Waves,,,true
WAX,Worldwide Asset eXchange,,,true
WC,WhiteCoin,,,true
WGR,Wagerr,,,true
WINGS,Wings DAO,,,true
WLK,Wolk,,,true
WOP,WorldPay,,,true
WPR,WePower,,,true
WRC,Worldcore,,,true
WTC,Waltonchain,,,true
XAUR,Xaurum,,,true
XBP,Black Pearl Coin,,,true
XBY,XtraBYtes,,,true
XCP,CounterParty,,,true
XCXT,CoinonatX,,,true
XDN,DigitalNote ,,,true
XEM,NEM,,,true
XGB,GoldenBird,,,true
XHI,HiCoin,,,true
XID,Sphre AIR,,,true
XLM,Stellar,,,true
XMR,Monero,,,true
XNC,XenCoin,,,true
XRB,Nano,,,true
XRP,Ripple,,,true
XTO,Tao,,,true
XTZ,Tezos,,,true
XUC,Exchange Union,,,true
XVG,Verge,,,true
XZC,ZCoin,,,true
YEE,Yee,,,true
YOC,YoCoin,,,true
YOYOW,Yoyow,,,true
ZBC,Zilbercoin,,,true
ZCL,ZClassic,,,true
ZEC,ZCash,,,true
ZEN,ZenCash,,,true
ZIL,Zilliqa,,,true
ZNY,BitZeny,,,true
ZRX,0x,,,true
ZSC,Zeusshield,,,true
611,SixEleven,,,true
